band,solved_count,total_count
1050-1099,0,1
1100-1149,0,27
1150-1199,3,127
1200-1249,7,162
1250-1299,10,160
1300-1349,22,137
1350-1399,29,138
1400-1449,25,121
1450-1499,29,99
1500-1549,33,118
1550-1599,23,84
1600-1649,31,91
1650-1699,30,100
1700-1749,70,97
1750-1799,48,98
1800-1849,30,82
1850-1899,33,89
1900-1949,21,72
1950-1999,26,68
2000-2049,24,77
2050-2099,25,88
2100-2149,26,56
2150-2199,35,54
2200-2249,22,61
2250-2299,17,51
2300-2349,10,40
2350-2399,18,57
2400-2449,14,45
2450-2499,9,35
2500-2549,10,32
2550-2599,3,21
2600-2649,9,26
2650-2699,5,21
2700-2749,2,9
2750-2799,2,7
2800-2849,2,8
2850-2899,0,6
2900-2949,1,5
2950-2999,0,1
3000-3049,2,4
3050-3099,0,1
3100-3149,1,4
